MPSOLVER_OPTIMAL
Optimal solution found!:
Min value = 36597
0 0 0 0 0 4 14 11 20 28 73 96 181 148 98 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
の 173 03 5
た 139 12 5
に 138 21 5
い 126 30 5
し 123 0002 6
と 119 0011 6
を 112 0020 6
て 111 003 6
は 108 0101 6
、 105 0110 6
な 89 012 6
。 83 021 6
が 81 102 6
る 79 111 6
で 72 13 6
こ 72 201 6
か 68 22 6
っ 67 31 6
ら 61 0003 7
う 61 0012 7
れ 60 0021 7
す 52 0102 7
ー 46 013 7
り 46 022 7
き 42 103 7
ま 39 112 7
そ 36 202 7
ン 35 23 7
く 33 32 7
よ 31 00003 8
だ 31 00012 8
さ 30 00102 8
あ 30 0013 8
も 29 0022 8
わ 27 01002 8
・ 26 0103 8
　 26 01110 8
  26 0112 8
お 25 02001 8
け 23 02010 8
」 23 0202 8
「 23 023 8
ル 22 1003 8
ん 20 1012 8
ち 20 1102 8
え 20 113 8
ラ 18 2002 8
ス 18 203 8
つ 18 33 8
見 17 000003 9
人 17 000012 9
ト 17 000021 9
カ 17 000102 9
イ 17 000111 9
レ 16 00013 9
ウ 16 001002 9
ジ 15 001011 9
や 15 00103 9
ど 15 0023 9
聖 14 01003 9
彼 14 01111 9
大 14 0113 9
者 13 02002 9
上 13 02011 9
エ 13 0203 9
め 13 10003 9
思 12 10012 9
ア 12 10021 9
せ 12 10102 9
出 11 10111 9
フ 11 1013 9
車 10 11002 9
建 10 11011 9
堂 10 1103 9
サ 10 20002 9
ば 10 20011 9
道 9 2003 9
言 9 0000003 10
物 9 0000012 10
海 9 0000021 10
手 9 0000102 10
事 9 0000111 10
中 9 000013 10
ョ 9 0000201 10
チ 9 000022 10
タ 9 0001002 10
む 9 0001011 10
み 9 000103 10
地 8 0001101 10
口 8 000112 10
会 8 0010002 10
一 8 0010011 10
ク 8 001003 10
べ 8 0010101 10
げ 8 001012 10
雨 7 0100002 10
部 7 0100011 10
通 7 0100020 10
築 7 010003 10
立 7 0100101 10
水 7 0100110 10
司 7 010012 10
入 7 01112 10
任 7 0200001 10
乗 7 0200010 10
主 7 020002 10
マ 7 02003 10
オ 7 02012 10
ろ 7 1000002 10
ょ 7 1000011 10
ほ 7 1000020 10
び 7 100003 10
ね 7 1000101 10
馬 6 1000110 10
自 6 100012 10
祭 6 1000200 10
決 6 100021 10
気 6 1001001 10
川 6 1001010 10
家 6 100102 10
場 6 1001100 10
員 6 100111 10
合 6 10013 10
分 6 1002000 10
ド 6 100201 10
ァ 6 10022 10
ぶ 6 1010001 10
― 6 1010010 10
駅 5 101002 10
降 5 1010100 10
重 5 101011 10
送 5 10103 10
行 5 1011000 10
線 5 101101 10
目 5 10112 10
港 5 1100001 10
明 5 1100010 10
後 5 110002 10
市 5 1100100 10
奏 5 110011 10
取 5 11003 10
友 5 1101000 10
前 5 110101 10
利 5 11012 10
内 5 2000001 10
不 5 200002 10
ッ 5 200011 10
ざ 5 20003 10
ご 5 200101 10
ぎ 5 20012 10
陸 4 00000003 11
防 4 00000012 11
鉄 4 00000021 11
過 4 00000102 11
運 4 00000111 11
身 4 0000013 11
若 4 00000201 11
紹 4 0000022 11
素 4 00001002 11
着 4 00001011 11
用 4 0000103 11
方 4 00001101 11
敷 4 0000112 11
数 4 00002001 11
教 4 0000202 11
振 4 000023 11
意 4 00010002 11
得 4 00010011 11
式 4 0001003 11
広 4 00010101 11
年 4 0001012 11
差 4 00011001 11
屋 4 0001102 11
実 4 000113 11
安 4 00100002 11
外 4 00100011 11
塔 4 0010003 11
四 4 00100101 11
医 4 0010012 11
側 4 00101001 11
介 4 0010102 11
交 4 001013 11
ワ 4 01000002 11
リ 4 01000011 11
ミ 4 0100003 11
ノ 4 01000101 11
