33
44.993 85.0321
80.2465 43.8514 10
38.9466 33.9851 10
116.326 96.7236 10
99.414 68.5165 10
69.1151 15.6194 10
17.7888 126.908 10
26.6448 66.4455 10
58.1974 130.158 10
73.7032 86.732 10
96.5046 121.126 10
25.7711 97.6645 10
14.2645 17.1951 9.85147
55.711 60.6975 9.6291
7.51471 44.0627 7.51471
81.5063 143.214 6.69885
104.831 33.8872 6.28287
42.2592 5.99096 5.9116
53.2006 101.933 5.52307
45.3513 82.0719 4.12355
74.744 110.846 4.06662
123.292 67.5083 3.89927
3.30093 73.3123 3.30093
3.22422 91.0713 3.22422
119.02 49.3849 2.83724
102.876 143.53 2.70513
37.9988 140.068 2.4987
90.6937 21.2917 2.31168
134.59 30.3452 10
136.833 126.886 10
106.89 6.26662 6.26662
144.381 65.1276 5.619
140.231 93.3919 2.94835
