10g: links: /; rechts: 10g
20g: links: /; rechts: 10g, 10g
30g: links: /; rechts: 10g, 10g, 10g
40g: links: 10g; rechts: 50g
50g: links: /; rechts: 50g
60g: links: /; rechts: 50g, 10g
70g: links: /; rechts: 50g, 10g, 10g
80g: links: /; rechts: 50g, 10g, 10g, 10g
90g: links: 10g; rechts: 50g, 50g
100g: links: /; rechts: 50g, 50g
110g: links: /; rechts: 50g, 50g, 10g
120g: links: /; rechts: 50g, 50g, 10g, 10g
130g: links: /; rechts: 50g, 50g, 10g, 10g, 10g
140g: links: 10g; rechts: 50g, 100g
150g: links: /; rechts: 50g, 100g
160g: links: /; rechts: 50g, 100g, 10g
170g: links: /; rechts: 50g, 100g, 10g, 10g
180g: links: /; rechts: 50g, 100g, 10g, 10g, 10g
190g: links: 10g; rechts: 50g, 50g, 100g
200g: links: /; rechts: 50g, 50g, 100g
210g: links: /; rechts: 50g, 50g, 100g, 10g
220g: links: /; rechts: 50g, 50g, 100g, 10g, 10g
230g: links: /; rechts: 50g, 50g, 100g, 10g, 10g, 10g
240g: links: 10g; rechts: 50g, 100g, 100g
250g: links: /; rechts: 50g, 100g, 100g
260g: links: /; rechts: 50g, 100g, 100g, 10g
270g: links: /; rechts: 50g, 100g, 100g, 10g, 10g
280g: links: /; rechts: 50g, 100g, 100g, 10g, 10g, 10g
290g: links: 10g; rechts: 50g, 50g, 100g, 100g
300g: links: /; rechts: 50g, 50g, 100g, 100g
310g: links: /; rechts: 50g, 50g, 100g, 100g, 10g
320g: links: /; rechts: 50g, 50g, 100g, 100g, 10g, 10g
330g: links: /; rechts: 50g, 50g, 100g, 100g, 10g, 10g, 10g
340g: links: 10g; rechts: 50g, 100g, 100g, 100g
350g: links: /; rechts: 50g, 100g, 100g, 100g
360g: links: /; rechts: 50g, 100g, 100g, 100g, 10g
370g: links: /; rechts: 50g, 100g, 100g, 100g, 10g, 10g
380g: links: /; rechts: 50g, 100g, 100g, 100g, 10g, 10g, 10g
390g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g
400g: links: /; rechts: 50g, 50g, 100g, 100g, 100g
410g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 10g
420g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 10g, 10g
430g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 10g, 10g, 10g
440g: links: 50g, 10g; rechts: 500g
450g: links: 50g; rechts: 500g
460g: links: 50g; rechts: 500g, 10g
470g: links: 10g, 10g, 10g; rechts: 500g
480g: links: 10g, 10g; rechts: 500g
490g: links: 10g; rechts: 500g
500g: links: /; rechts: 500g
510g: links: /; rechts: 500g, 10g
520g: links: /; rechts: 500g, 10g, 10g
530g: links: /; rechts: 500g, 10g, 10g, 10g
540g: links: 10g; rechts: 50g, 500g
550g: links: /; rechts: 50g, 500g
560g: links: /; rechts: 50g, 500g, 10g
570g: links: /; rechts: 50g, 500g, 10g, 10g
580g: links: /; rechts: 50g, 500g, 10g, 10g, 10g
590g: links: 10g; rechts: 50g, 50g, 500g
600g: links: /; rechts: 50g, 50g, 500g
610g: links: /; rechts: 50g, 50g, 500g, 10g
620g: links: /; rechts: 50g, 50g, 500g, 10g, 10g
630g: links: /; rechts: 50g, 50g, 500g, 10g, 10g, 10g
640g: links: 10g; rechts: 50g, 100g, 500g
650g: links: /; rechts: 50g, 100g, 500g
660g: links: /; rechts: 50g, 100g, 500g, 10g
670g: links: /; rechts: 50g, 100g, 500g, 10g, 10g
680g: links: /; rechts: 50g, 100g, 500g, 10g, 10g, 10g
690g: links: 10g; rechts: 50g, 50g, 100g, 500g
700g: links: /; rechts: 50g, 50g, 100g, 500g
710g: links: /; rechts: 50g, 50g, 100g, 500g, 10g
720g: links: /; rechts: 50g, 50g, 100g, 500g, 10g, 10g
730g: links: /; rechts: 50g, 50g, 100g, 500g, 10g, 10g, 10g
740g: links: 10g; rechts: 50g, 100g, 100g, 500g
750g: links: /; rechts: 50g, 100g, 100g, 500g
760g: links: /; rechts: 50g, 100g, 100g, 500g, 10g
770g: links: /; rechts: 50g, 100g, 100g, 500g, 10g, 10g
780g: links: /; rechts: 50g, 100g, 100g, 500g, 10g, 10g, 10g
790g: links: 10g; rechts: 50g, 50g, 100g, 100g, 500g
800g: links: /; rechts: 50g, 50g, 100g, 100g, 500g
810g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 10g
820g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 10g, 10g
830g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 10g, 10g, 10g
840g: links: 10g; rechts: 50g, 100g, 100g, 100g, 500g
850g: links: /; rechts: 50g, 100g, 100g, 100g, 500g
860g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 10g
870g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 10g, 10g
880g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 10g, 10g, 10g
890g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 500g
900g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g
910g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 10g
920g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 10g, 10g
930g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 10g, 10g, 10g
940g: links: 50g, 10g; rechts: 500g, 500g
950g: links: 50g; rechts: 500g, 500g
960g: links: 50g; rechts: 500g, 500g, 10g
970g: links: 10g, 10g, 10g; rechts: 500g, 500g
980g: links: 10g, 10g; rechts: 500g, 500g
990g: links: 10g; rechts: 500g, 500g
1000g: links: /; rechts: 500g, 500g
1010g: links: /; rechts: 500g, 500g, 10g
1020g: links: /; rechts: 500g, 500g, 10g, 10g
1030g: links: /; rechts: 500g, 500g, 10g, 10g, 10g
1040g: links: 10g; rechts: 50g, 500g, 500g
1050g: links: /; rechts: 50g, 500g, 500g
1060g: links: /; rechts: 50g, 500g, 500g, 10g
1070g: links: /; rechts: 50g, 500g, 500g, 10g, 10g
1080g: links: /; rechts: 50g, 500g, 500g, 10g, 10g, 10g
1090g: links: 10g; rechts: 50g, 50g, 500g, 500g
1100g: links: /; rechts: 50g, 50g, 500g, 500g
1110g: links: /; rechts: 50g, 50g, 500g, 500g, 10g
1120g: links: /; rechts: 50g, 50g, 500g, 500g, 10g, 10g
1130g: links: /; rechts: 50g, 50g, 500g, 500g, 10g, 10g, 10g
1140g: links: 10g; rechts: 50g, 100g, 500g, 500g
1150g: links: /; rechts: 50g, 100g, 500g, 500g
1160g: links: /; rechts: 50g, 100g, 500g, 500g, 10g
1170g: links: /; rechts: 50g, 100g, 500g, 500g, 10g, 10g
1180g: links: /; rechts: 50g, 100g, 500g, 500g, 10g, 10g, 10g
1190g: links: 10g; rechts: 50g, 50g, 100g, 500g, 500g
1200g: links: /; rechts: 50g, 50g, 100g, 500g, 500g
1210g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 10g
1220g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 10g, 10g
1230g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 10g, 10g, 10g
1240g: links: 10g; rechts: 50g, 100g, 100g, 500g, 500g
1250g: links: /; rechts: 50g, 100g, 100g, 500g, 500g
1260g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 10g
1270g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 10g, 10g
1280g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 10g, 10g, 10g
1290g: links: 10g; rechts: 50g, 50g, 100g, 100g, 500g, 500g
1300g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g
1310g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 10g
1320g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 10g, 10g
1330g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 10g, 10g, 10g
1340g: links: 10g; rechts: 50g, 100g, 100g, 100g, 500g, 500g
1350g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g
1360g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 10g
1370g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 10g, 10g
1380g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 10g, 10g, 10g
1390g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g
1400g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g
1410g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 10g
1420g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 10g, 10g
1430g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 10g, 10g, 10g
1440g: links: 50g, 10g; rechts: 500g, 500g, 500g
1450g: links: 50g; rechts: 500g, 500g, 500g
1460g: links: 50g; rechts: 500g, 500g, 500g, 10g
1470g: links: 10g, 10g, 10g; rechts: 500g, 500g, 500g
1480g: links: 10g, 10g; rechts: 500g, 500g, 500g
1490g: links: 10g; rechts: 500g, 500g, 500g
1500g: links: /; rechts: 500g, 500g, 500g
1510g: links: /; rechts: 500g, 500g, 500g, 10g
1520g: links: /; rechts: 500g, 500g, 500g, 10g, 10g
1530g: links: /; rechts: 500g, 500g, 500g, 10g, 10g, 10g
1540g: links: 10g; rechts: 50g, 500g, 500g, 500g
1550g: links: /; rechts: 50g, 500g, 500g, 500g
1560g: links: /; rechts: 50g, 500g, 500g, 500g, 10g
1570g: links: /; rechts: 50g, 500g, 500g, 500g, 10g, 10g
1580g: links: /; rechts: 50g, 500g, 500g, 500g, 10g, 10g, 10g
1590g: links: 10g; rechts: 50g, 50g, 500g, 500g, 500g
1600g: links: /; rechts: 50g, 50g, 500g, 500g, 500g
1610g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 10g
1620g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 10g, 10g
1630g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 10g, 10g, 10g
1640g: links: 10g; rechts: 50g, 100g, 500g, 500g, 500g
1650g: links: /; rechts: 50g, 100g, 500g, 500g, 500g
1660g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 10g
1670g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 10g, 10g
1680g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 10g, 10g, 10g
1690g: links: 10g; rechts: 50g, 50g, 100g, 500g, 500g, 500g
1700g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g
1710g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 10g
1720g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 10g, 10g
1730g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 10g, 10g, 10g
1740g: links: 10g; rechts: 50g, 100g, 100g, 500g, 500g, 500g
1750g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g
