28
88.2741 84.0641
54.2445 31.6998 10
85.5566 32.617 10
78.6549 62.0811 10
120.753 38.4611 10
123.843 72.0841 10
159.242 85.2436 10
148.959 53.1145 10
36.4731 61.1012 10
46.4591 89.4595 10
89.8781 89.5671 9.68906
77.0261 6.50254 6.50254
117.725 12.2493 6.38612
25.9623 37.2809 5.9623
132.814 95.1697 4.76739
142.761 27.7244 4.48732
112.737 93.7848 3.55568
57.7058 7.73951 2.78161
22.7698 94.4779 2.7698
95.3522 12.13 2.66812
69.0026 96.8357 2.41567
168.591 64.9826 2.31394
24.2596 79.6732 2.10967
175.599 10.0226 10
33.0695 9.27692 9.27692
180.425 45.9044 6.20489
184.49 79.6778 5.51
142.127 9.93525 3.31313
