Amount of moves: 1308
Moves:
R R D D R R U R U R R D L L D D L L U D R D R D R R D L D L L L D R D L D R D D L D D R R D R D R U R D D D L D R R D R R D D D D D L L D R R R D R R R U R R D D D D L L D D D D R D D L D D D R D R R U U R U U U R R U R R D R U R R U R D R U U U R R D R D D D D R D R D D D D D R U R D R D R D D D D L L L L L D L D R R D L L D R D D D R D R U R R D D D D L D L L D D R U U R D D R R D R D R D R U R U R R U L L U R R U R D R U L L L U U U U U L U U R D R R R U U L U L L L U U R U U U R R U U U U U R R D D R U R U U R D R U R D D R R R D R D D L D D L L D L D D R D D L L D R D R D R U R D R R D D L D D L L D R R D D L D D D R U U R U U R D R R R U R U U U U R R R R R L U R R D D R R U R U U U U R R D D L D D R D R R R U R R R D D R U U U R L U L L U U R U R D R R D D D D R D R U R U U U U R R D D R U U R R R R D R D R D D L L D D R U D D R D D D R D L L L L D L L D L U L U L L D L L D R D D L L D D L D R R R D L L D L L D L D R R D L D D D R U R R R R R D R R R D L L D D R R U R D R R R D R D R U R R R U U L L D L L L D L U L U L D L L L L L U L U L U R U U R R R R R U R R D R U L R D D R R L D L L L D L L D R D D D D L D R D R R D D L D D L U L D D R R D D D D D R U U R D R D D D R D R D L L L U L D R L U L D D L U R L D L D R D D D R D R U R D R R D L L D R R U U R D D D R R D R U R D D R R U U L U U L U R R U R D R U R D D R U U U R R R R U R D R R R U U D R D D R D R D D R D R U R U U L U R U R D R U U U R U U R U L U R R D R D D R D D L U L D D L D D R D L D R D R L D R D R D R R D D R D R U R R D D D D L D D D R D D R D L L D R D L D L D L U U L L D D L L L L D L U L U U U U U L U L U L L L D L U L L U U L D L D D L D L D D D D D D R U R D R D D L L D L D L D L L L U L L D R D R R D L L L L L U L L L L D L L L L D R R D D R D L L D D R R R D R R R D R R R U R U U U R R D D R R R D R R L U U U L D L D L U U R R R U R U R U R D R R U R U U R R R U U U L U U U U L L U U L D D D L U U D L L U U R R D D R D R U R U U R D D L L D R R R R R U R R D R D D D L L L D L L D D L L L D D D L U U L D D D L L U U L L U D R D D D R D R D D D L D D R U R R D D R U D D R U R R U U L U R R R R R D R R D R R U R R R U R R D R D R U R R R R R U U U L U U L L L U R U U U D R U U U R R R D R D D R U U R R U L U U R U U L U U R R D R R U R U R R U U R R R R D D R D D R U R D R D D R R D L D R R R R D D D R R D R R D D L L L L L D D D R D L L U L D D L D L D R R D D D R U R R D R U R D R D D L D L D R R D R D R U U U R U U R U L U R R U R U R R R D D R U R D R R U R D R R U U U R R R R R R R D D D D D R D R D R R D R D L D D L L L D R D R R R R D L D D D D L D R D R D R R R R D D R D D R R D 
0 0 0 0
0 0 0 1
0 0 0 2
1 0 0 2
2 0 0 2
2 1 0 3
2 2 0 4
1 2 0 4
1 3 0 5
0 3 0 5
0 4 0 6
0 5 0 6
1 5 1 6
1 4 1 5
1 4 1 4
2 4 2 4
3 4 3 4
3 4 3 3
3 4 3 2
2 4 3 2
3 4 4 2
3 4 4 3
4 4 5 3
4 5 5 4
4 5 6 4
4 6 6 5
4 6 6 6
5 6 7 6
5 5 7 5
6 5 8 5
6 4 8 5
6 3 8 5
6 2 8 5
7 2 8 5
7 2 8 6
8 2 9 6
8 1 9 6
9 1 9 6
9 1 9 7
10 1 10 7
10 1 11 7
10 0 11 6
11 0 12 6
12 0 13 6
12 0 13 7
12 0 13 8
13 0 14 8
13 0 14 9
14 0 15 9
14 1 15 10
14 1 14 10
14 2 14 11
14 2 15 11
14 2 16 11
14 2 17 11
14 1 17 10
15 1 18 10
15 1 18 11
15 1 18 12
16 1 18 12
16 2 18 13
16 3 18 14
16 3 19 14
16 3 20 14
16 3 21 14
16 3 22 14
16 3 23 14
16 2 23 13
16 1 23 12
16 1 24 12
16 2 24 13
16 3 24 14
16 4 24 15
17 4 24 15
17 5 24 16
17 6 24 17
17 7 24 17
17 7 23 17
17 8 23 18
17 9 23 18
18 9 24 18
18 9 25 18
18 9 26 18
18 9 27 18
18 8 27 17
18 8 27 16
19 8 28 16
20 8 29 16
21 8 30 16
22 8 31 16
22 9 31 17
22 9 32 17
22 9 33 17
22 8 33 16
23 8 34 16
24 8 35 16
25 8 36 16
25 9 36 16
25 9 37 16
25 10 37 17
25 11 37 18
24 11 36 18
23 11 35 18
23 12 35 19
22 12 34 19
21 12 33 19
20 12 33 19
20 13 33 19
20 14 33 19
19 14 33 19
19 15 33 19
19 16 33 19
19 16 34 19
19 17 34 20
18 17 33 20
18 18 33 20
18 19 33 20
17 19 32 20
17 20 32 21
18 20 33 21
18 21 33 22
17 21 32 22
17 21 31 22
17 21 30 22
17 22 30 23
17 23 30 24
17 23 31 24
17 24 31 25
18 24 31 25
19 24 31 25
20 24 31 25
21 24 31 25
21 25 31 26
22 25 32 26
22 25 32 27
23 25 32 27
24 25 32 27
25 25 32 27
26 25 32 27
27 25 32 27
27 26 32 27
27 26 31 27
27 27 31 28
28 27 32 28
28 28 32 29
29 28 33 29
29 28 33 30
30 28 34 30
31 28 34 30
32 28 34 30
33 28 34 30
33 27 34 30
33 26 34 30
33 25 34 30
33 24 34 30
33 23 34 30
34 23 34 30
34 22 34 30
35 22 34 30
35 23 34 31
35 23 34 32
36 23 35 32
36 22 35 32
36 21 35 32
37 21 36 32
37 22 36 33
38 22 37 33
39 22 37 33
40 22 37 33
40 23 37 33
41 23 37 33
41 24 37 33
41 24 36 33
41 25 36 34
41 26 36 34
42 26 37 34
43 26 37 34
44 26 37 34
45 26 37 34
45 25 37 34
46 25 37 34
46 24 37 34
46 23 37 34
47 23 37 34
48 23 37 34
48 24 37 35
48 24 36 35
48 24 35 35
48 25 35 36
49 25 35 36
50 25 35 36
50 26 35 37
50 27 35 38
51 27 35 38
51 28 35 39
52 28 36 39
52 29 36 40
53 29 36 40
53 30 36 41
52 30 36 41
52 31 36 42
52 31 35 42
52 32 35 43
52 33 35 44
51 33 35 44
51 32 35 43
51 31 35 42
50 31 34 42
50 32 34 43
50 33 34 44
49 33 33 44
49 34 33 44
49 34 34 44
49 35 34 45
48 35 33 45
48 34 33 45
48 33 33 45
48 32 33 45
47 32 32 45
46 32 31 45
45 32 31 45
44 32 31 45
43 32 31 45
43 31 31 44
42 31 30 44
41 31 30 44
41 32 30 45
42 32 30 45
42 33 30 46
42 34 30 46
42 35 30 46
41 35 29 46
40 35 28 46
40 34 28 45
39 34 28 45
39 34 28 44
39 34 28 43
39 34 28 42
38 34 27 42
37 34 26 42
37 35 26 43
36 35 25 43
35 35 24 43
35 35 23 43
35 36 23 44
35 36 23 45
34 36 22 45
33 36 22 45
32 36 22 45
31 36 22 45
30 36 22 45
30 37 22 46
30 38 22 46
30 38 23 46
30 38 24 46
30 39 24 47
29 39 23 47
29 39 23 48
28 39 22 48
27 39 22 48
27 40 22 49
27 40 23 49
27 41 23 50
27 41 22 50
27 42 22 51
28 42 22 51
29 42 22 51
29 43 22 52
29 44 22 53
29 45 22 54
30 45 23 54
30 46 23 55
31 46 23 55
32 46 23 55
32 45 23 54
33 45 23 54
34 45 23 54
34 44 23 53
34 43 23 52
35 43 23 52
35 42 23 51
36 42 24 51
37 42 24 51
37 42 24 52
38 42 25 52
38 42 26 52
38 41 26 51
38 41 26 50
39 41 27 50
39 42 27 50
40 42 28 50
40 43 28 51
41 43 28 51
41 44 28 52
41 44 27 52
41 45 27 53
42 45 28 53
42 46 28 54
42 47 28 54
43 47 29 54
44 47 30 54
44 46 30 54
45 46 31 54
46 46 31 54
46 45 31 53
46 45 31 52
47 45 32 52
47 46 32 52
47 47 32 52
48 47 33 52
48 47 34 52
48 46 34 52
49 46 35 52
50 46 36 52
51 46 37 52
51 47 37 52
50 47 36 52
49 47 35 52
49 48 35 52
48 48 34 52
47 48 33 52
47 49 33 52
48 49 34 52
48 50 34 53
48 51 34 54
48 52 34 54
47 52 34 54
47 53 34 54
46 53 34 54
45 53 34 54
44 53 34 54
43 53 34 54
43 54 34 54
43 55 34 54
43 56 34 54
43 57 34 54
43 58 34 54
43 57 34 53
42 57 33 53
42 58 33 54
42 59 33 54
43 59 33 54
44 59 33 54
44 60 33 54
44 61 33 54
43 61 32 54
43 62 32 55
42 62 32 55
41 62 32 55
40 62 32 55
39 62 32 55
39 63 32 56
39 64 32 57
40 64 33 57
40 64 34 57
40 64 34 56
40 64 35 56
40 64 36 56
40 65 36 56
41 65 37 56
41 66 37 57
41 67 37 57
41 68 37 57
40 68 37 57
40 69 37 57
40 70 37 57
40 71 37 57
41 71 38 57
42 71 39 57
42 72 39 58
41 72 39 58
40 72 39 58
39 72 39 58
39 72 39 59
39 71 39 58
38 71 39 58
38 70 39 57
38 69 39 56
37 69 38 56
36 69 38 56
36 70 38 56
35 70 38 56
35 71 38 56
35 71 39 56
35 72 39 57
35 73 39 58
35 73 40 58
35 73 41 58
35 73 42 58
35 73 43 58
35 74 43 59
36 74 44 59
36 75 44 60
35 75 44 60
35 76 44 61
34 76 44 61
33 76 44 61
32 76 44 61
31 76 44 61
31 77 44 62
31 78 44 63
32 78 45 63
33 78 45 63
33 79 45 64
32 79 45 64
31 79 45 64
31 80 45 64
31 81 45 64
31 82 45 64
31 83 45 64
31 83 46 64
31 84 46 65
31 84 47 65
31 85 47 66
32 85 48 66
33 85 49 66
33 84 49 66
33 83 49 66
34 83 50 66
35 83 51 66
35 84 51 66
35 84 50 66
36 84 51 66
37 84 52 66
37 85 52 66
38 85 53 66
39 85 54 66
40 85 55 66
40 86 55 66
41 86 56 66
41 85 56 65
41 84 56 64
41 83 56 63
41 82 56 62
41 82 57 62
41 81 57 61
41 80 57 60
42 80 58 60
42 80 58 59
41 80 57 59
41 79 57 58
41 79 56 58
41 79 56 57
41 79 56 56
41 79 57 56
41 79 57 55
41 79 57 54
41 79 58 54
41 80 58 54
42 80 59 54
43 80 60 54
43 80 60 53
43 80 60 52
44 80 61 52
45 80 61 52
45 79 61 51
46 79 62 51
46 80 62 52
46 81 62 53
46 82 62 54
47 82 62 54
47 82 62 53
47 82 62 52
48 82 63 52
48 81 63 51
48 80 63 50
48 80 64 50
48 79 64 50
49 79 65 50
49 80 65 51
49 81 65 51
50 81 65 51
50 81 65 50
51 81 66 50
52 81 67 50
53 81 68 50
53 82 68 50
52 82 67 50
52 83 67 50
52 84 67 50
52 85 67 50
52 86 67 50
52 87 67 50
53 87 68 50
53 88 68 50
53 89 68 50
53 90 68 50
54 90 69 50
54 90 69 49
54 90 69 48
55 90 70 48
56 90 71 48
56 91 71 48
56 92 71 48
55 92 70 48
55 93 70 49
55 93 71 49
55 94 71 49
55 95 71 49
55 96 71 49
56 96 72 49
56 97 72 49
57 97 73 49
57 98 73 50
56 98 73 50
56 99 73 50
56 100 73 50
56 101 73 50
55 101 73 50
54 101 73 50
54 100 73 49
54 100 73 48
54 100 74 48
54 100 74 47
54 100 74 46
54 100 74 45
54 100 75 45
54 100 75 44
53 100 75 44
53 100 75 43
52 100 74 43
52 99 74 42
52 99 75 42
52 99 75 41
52 99 75 40
52 99 75 39
52 99 75 38
52 99 75 37
51 99 74 37
51 99 74 36
50 99 74 36
50 98 74 35
49 98 73 35
49 99 73 35
48 99 73 35
47 99 73 35
47 100 73 35
47 101 73 35
47 102 73 35
47 103 73 35
47 104 73 35
46 104 73 35
46 105 73 35
46 106 73 35
47 106 74 35
47 107 74 36
46 107 74 36
46 107 74 35
46 108 74 36
47 108 75 36
48 108 76 36
48 109 76 36
48 110 76 36
48 109 76 35
49 109 77 35
49 109 77 34
49 109 77 33
49 109 77 32
49 109 78 32
49 109 78 31
49 109 78 30
49 109 79 30
49 110 79 30
50 110 80 30
51 110 81 30
52 110 82 30
53 110 83 30
53 109 83 30
54 109 83 30
54 110 83 31
54 110 84 31
54 111 84 31
54 112 84 31
55 112 84 31
56 112 84 31
56 111 84 30
57 111 85 30
57 111 86 30
57 110 86 29
56 110 86 29
56 109 86 29
57 109 87 29
58 109 88 29
58 109 88 30
58 109 88 31
59 109 89 31
60 109 90 31
60 109 91 31
60 109 92 31
60 109 93 31
60 110 93 32
60 110 92 32
60 110 91 32
60 111 91 33
60 111 92 33
60 112 92 34
61 112 93 34
62 112 94 34
63 112 95 34
63 113 95 34
64 113 96 34
64 114 96 34
65 114 97 34
65 113 97 33
65 112 97 32
65 111 97 31
64 111 97 31
64 110 97 30
64 110 98 30
64 111 98 30
64 110 98 29
64 110 97 29
64 109 97 28
65 109 97 28
66 109 97 28
66 108 97 27
66 108 96 27
66 109 96 27
