Amount of moves: 472
Moves:
D R R D D D D R D D R D D D R D D R R R D R R R D R R U R D R D L D R R D R D D D R D D D R R R D D D R R R U U R R R D R D D R U R R R R R R D D R R R R R D R D R R D R R R D D D R R D D D R R R D D L D R D L D D D D D R R D R D D R D R R R D R D D D R R R D R D D D R D R D D D R D R D D L D R R D R D R D R R D R U R R D R R R R R R D D D D D D D D R D D D D D R D D R U R D D R D R D D R U R D R R D R U U R U U L D D L U U U L U R U R U R D R D D R R R R D D D D R D R R D R D R R D R D R R R U R R R D R R R D R D D D D D R D L D D R R D R R D D L L D D R R R R U U R R U U R R R R D R D R U R R R R R U R R D R R R D D D D R D D D D R D L L L L L D D L L L D R D L L D D L D D D R D D D D R R D R R U U R R R U R D R D D D R R R D R U R R D D R D D D D R D R R R D R D R R R D D D D L L U L L D D D L L D R D R R D D L L U D L L D L L L D R D R D D R D R R U R R R R R R R R R D R D D D R D R R R R D L L D R R D D D D D D R U R D D R D 
0 0 0 0
1 0 1 0
1 1 1 0
1 2 1 0
2 2 2 0
3 2 3 0
4 2 4 0
5 2 4 0
5 3 4 1
6 3 5 1
7 3 6 1
7 4 6 2
8 4 7 2
9 4 8 2
10 4 9 2
10 5 9 3
11 5 10 3
11 5 11 3
11 6 11 4
11 7 11 5
11 8 11 6
11 8 12 6
11 9 12 7
11 10 12 8
11 11 12 9
12 11 13 9
12 12 13 10
12 13 13 11
11 13 13 11
11 14 13 12
12 14 13 12
12 15 13 13
13 15 14 13
13 14 14 13
14 14 14 13
14 14 14 14
14 14 14 15
15 14 14 15
15 15 14 16
16 15 15 16
17 15 16 16
18 15 17 16
18 16 17 17
19 16 18 17
20 16 19 17
21 16 20 17
21 17 20 18
21 18 20 19
21 19 20 19
22 19 21 19
23 19 22 19
24 19 23 19
24 20 23 20
24 21 23 21
24 22 23 22
24 22 22 22
24 22 21 22
24 22 21 23
24 22 21 24
24 22 21 25
25 22 22 25
25 23 22 26
26 23 23 26
27 23 24 26
27 24 24 27
26 24 24 27
26 25 24 28
26 26 24 29
26 27 24 30
26 28 24 31
26 29 24 32
26 30 24 33
26 30 25 33
26 30 26 33
26 31 26 34
26 32 26 35
26 33 26 36
26 34 26 37
26 34 26 38
27 34 27 38
27 35 27 39
27 35 28 39
27 36 28 40
27 37 28 41
28 37 29 41
28 37 29 42
28 37 29 43
28 37 29 44
29 37 30 44
30 37 30 44
31 37 30 44
31 38 30 45
31 39 30 46
32 39 31 46
33 39 32 46
34 39 32 46
34 40 32 47
34 41 32 48
34 42 32 49
35 42 33 49
36 42 34 49
36 41 34 49
37 41 35 49
37 42 35 50
38 42 36 50
38 41 36 50
39 41 36 50
40 41 36 50
41 41 36 50
42 41 36 50
43 41 36 50
43 42 36 51
43 43 36 52
44 43 37 52
44 44 37 53
45 44 38 53
46 44 39 53
46 45 39 54
47 45 40 54
47 46 40 55
47 47 40 55
47 48 40 55
48 48 41 55
48 49 41 56
49 49 42 56
50 49 43 56
50 49 44 56
50 50 44 57
50 51 44 58
50 52 44 58
51 52 45 58
51 53 45 59
52 53 46 59
53 53 47 59
53 53 48 59
53 54 48 60
53 54 49 60
53 55 49 61
54 55 50 61
55 55 51 61
56 55 52 61
56 56 52 62
57 56 53 62
57 57 53 63
58 57 54 63
59 57 55 63
59 56 55 62
60 56 56 62
60 57 56 63
60 58 56 64
61 58 57 64
61 58 57 65
62 58 58 65
62 59 58 65
63 59 59 65
63 60 59 66
63 61 59 67
63 61 60 67
63 62 60 68
62 62 60 68
62 63 60 69
62 63 60 70
63 63 61 70
63 64 61 71
63 65 61 72
63 66 61 73
63 67 61 73
63 68 61 73
63 69 61 73
64 69 62 73
65 69 63 73
66 69 64 73
67 69 65 73
68 69 66 73
69 69 67 73
70 69 68 73
71 69 68 73
71 70 68 74
72 70 69 74
73 70 70 74
74 70 71 74
75 70 72 74
76 70 73 74
76 71 73 75
77 71 74 75
78 71 74 75
78 72 74 76
78 72 73 76
78 73 73 77
79 73 74 77
79 73 75 77
79 74 75 77
80 74 76 77
80 75 76 78
81 75 77 78
81 75 78 78
81 76 78 79
80 76 78 79
80 77 78 80
80 77 79 80
80 78 79 81
80 79 79 82
81 79 80 82
81 80 80 83
80 80 80 83
79 80 80 83
79 81 80 84
78 81 79 84
77 81 79 84
77 80 79 84
77 80 80 84
77 80 81 84
77 79 81 83
76 79 81 83
75 79 81 83
74 79 81 83
74 78 81 82
73 78 81 82
73 79 81 83
72 79 81 83
72 80 81 84
71 80 80 84
71 81 80 84
72 81 81 84
72 82 81 85
73 82 82 85
74 82 83 85
74 83 83 86
74 84 83 87
74 85 83 87
74 86 83 87
75 86 84 87
76 86 85 87
77 86 86 87
78 86 86 87
78 86 86 88
79 86 87 88
79 87 87 89
79 88 87 90
80 88 88 90
80 89 88 91
81 89 89 91
81 90 89 91
81 91 89 91
81 91 90 91
81 92 90 92
81 92 91 92
81 93 91 93
81 94 91 94
81 95 91 95
81 95 90 95
81 96 90 96
81 97 90 97
81 98 90 98
82 98 91 98
82 99 91 99
82 100 91 99
82 101 91 99
83 101 92 99
83 102 92 100
84 102 93 100
85 102 93 100
86 102 93 100
87 102 93 100
88 102 93 100
88 102 93 101
89 102 94 101
89 101 94 100
90 101 95 100
91 101 96 100
91 102 96 101
91 103 96 102
92 103 97 102
92 104 97 103
92 105 97 104
93 105 98 104
94 105 99 104
94 104 99 104
94 103 99 104
95 103 100 104
96 103 100 104
96 104 100 105
96 105 100 106
96 106 100 107
96 107 100 108
96 107 99 108
96 107 98 108
96 108 98 108
96 109 98 108
95 109 97 108
94 109 96 108
94 110 96 109
94 111 96 109
94 112 96 109
94 113 96 109
94 113 97 109
94 114 97 109
95 114 98 109
95 115 98 110
94 115 98 110
94 116 98 111
94 117 98 112
94 118 98 113
94 119 98 114
94 120 98 115
93 120 97 115
93 121 97 116
93 122 97 117
94 122 97 117
94 123 97 118
94 124 97 119
94 124 97 120
95 124 98 120
96 124 99 120
97 124 99 120
98 124 99 120
98 125 99 121
99 125 100 121
100 125 101 121
101 125 102 121
102 125 103 121
102 126 103 121
103 126 104 121
103 125 104 120
103 124 104 120
103 123 104 120
103 122 104 120
103 121 104 120
104 121 104 120
105 121 104 120
105 120 104 120
105 119 104 120
105 118 104 120
106 118 104 120
106 118 104 121
107 118 105 121
107 117 105 121
107 116 105 121
108 116 106 121
109 116 106 121
109 115 106 120
110 115 107 120
111 115 108 120
112 115 108 120
112 116 108 121
113 116 109 121
114 116 109 121
115 116 109 121
116 116 109 121
116 117 109 122
116 117 109 123
117 117 110 123
117 118 110 124
117 119 110 125
116 119 109 125
115 119 109 125
115 120 109 126
115 121 109 127
115 122 109 128
115 122 108 128
115 123 108 129
115 123 109 129
115 124 109 130
116 124 110 130
116 124 111 130
116 124 112 130
116 125 112 131
116 126 112 132
116 126 112 133
116 126 113 133
116 126 113 134
115 126 112 134
115 127 112 135
115 128 112 136
115 128 113 136
115 128 114 136
115 129 114 137
116 129 115 137
117 129 116 137
118 129 117 137
119 129 118 137
119 129 118 138
120 129 118 138
120 130 118 139
120 131 118 140
120 132 118 141
121 132 119 141
121 133 119 141
122 133 120 141
122 134 120 142
122 135 120 143
122 136 120 144
123 136 121 144
124 136 122 144
125 136 123 144
126 136 123 144
126 135 123 143
126 134 123 142
125 134 122 142
125 133 122 142
125 132 122 142
126 132 123 142
127 132 124 142
128 132 125 142
128 131 125 141
128 130 125 141
129 130 126 141
129 131 126 142
130 131 127 142
130 132 127 143
130 133 127 143
131 133 127 143
132 133 127 143
132 132 127 142
132 131 127 142
132 131 126 142
133 131 127 142
133 130 127 142
133 129 127 142
134 129 128 142
134 128 128 141
134 127 128 141
134 126 128 141
135 126 129 141
135 126 129 142
136 126 130 142
136 126 130 143
137 126 131 143
138 126 132 143
138 127 132 144
139 127 133 144
139 128 133 145
139 129 133 146
138 129 133 146
138 130 133 146
138 131 133 146
138 132 133 146
138 133 133 146
138 134 133 146
138 135 133 146
138 136 133 146
138 137 133 146
138 138 133 146
139 138 134 146
139 139 134 147
140 139 135 147
141 139 136 147
142 139 137 147
142 140 137 148
143 140 138 148
143 141 138 149
143 142 138 149
143 143 138 149
143 144 138 149
144 144 139 149
144 144 139 148
144 144 139 147
145 144 140 147
145 145 140 147
145 146 140 147
146 146 141 147
147 146 142 147
148 146 143 147
148 146 144 147
148 146 145 147
148 146 146 147
148 147 146 148
147 147 146 148
147 148 146 148
148 148 147 148
149 148 148 148
149 149 148 149
149 149 149 149
Program ran for 143.567891 seconds.
